Player,College,NBA Debut,Position,Ht,Wt,College PTS,College TRB,College AST,College FG%,College 3P%,College FT%,PTS,TRB,AST,FG%,3PT%,FT%
Coby White,UNC,2019,1,196,83,16.1,3.5,4.1,0.423,0.353,0.8,13.2,3.5,2.7,0.394,0.354,0.791
Jarrett Culver,Texas Tech,2019,2,196,88,14.9,5.6,2.8,0.459,0.341,0.687,9.2,3.4,1.7,0.404,0.299,0.462
De'Andre Hunter,UVA,2019,3,201,102,12.4,4.4,1.6,0.509,0.419,0.773,12.3,4.5,1.8,0.41,0.355,0.764
Grant Williams,Tennessee,2019,4,201,107,15.7,6.5,2.1,0.516,0.291,0.758,3.5,2.7,1,0.417,0.247,0.725
Eric Paschall,Villanova,2019,4,203,115,16.5,6.1,2.1,0.447,0.348,0.746,14,4.6,2.1,0.497,0.287,0.774
Darius Garland,Vanderbilt,2019,1,188,79,16.2,3.8,2.6,0.537,0.478,0.75,12.3,1.9,3.9,0.401,0.355,0.875
Ja Morant,Murray State,2019,1,190,79,18.7,6.1,8.2,0.485,0.343,0.81,17.6,3.5,6.9,0.491,0.367,0.77
Cam Reddish,Duke,2019,3,203,98,13.5,3.7,1.9,0.356,0.333,0.772,10.5,3.7,1.5,0.384,0.332,0.802
P.J. Washington,Kentucky,2019,3,203,103,12.9,6.6,1.7,0.521,0.384,0.632,12.2,5.4,2.1,0.455,0.374,0.647
Jordan Poole,Michigan,2019,2,196,88,9.4,2.2,1.4,0.434,0.37,0.831,8.8,2.1,2.4,0.333,0.279,0.798
Matisse Thybulle,Washington,2019,3,196,88,9.2,3.1,2,0.429,0.358,0.782,4.7,1.5,1.2,0.41,0.352,0.61
RJ Barrett,Duke,2019,2,201,91,22.6,7.6,4.3,0.454,0.308,0.665,14.3,5,2.6,0.402,0.32,0.614
Bruno Fernando,Maryland,2019,4,208,108,12,8.7,1.4,0.595,0.308,0.763,4.3,3.5,0.9,0.518,0.135,0.569
Jaxson Hayes,Texas ,2019,5,211,99,10,5,0.3,0.728,0,0.74,7.5,4,0.9,0.66,0.25,0.63
Brandon Clarke,Gonzaga,2019,4,203,97,16.9,8.6,1.9,0.687,0.267,0.694,12,5.8,1.4,0.623,0.404,0.785
Kevin Porter,Southern California,2019,2,198,98,9.5,4,1.4,0.471,0.412,0.522,10,3.2,2.2,0.442,0.335,0.723
Cameron Johnson,UNC,2019,3,206,95,15,5.3,2.4,0.475,0.411,0.828,8.1,2.9,1.1,0.418,0.397,0.761
Nassir Little,UNC,2019,3,198,99,9.8,4.6,0.7,0.478,0.269,0.77,3.6,2.3,0.5,0.43,0.237,0.636
Cody Martin,Nevada,2019,3,201,92,9.7,4.6,3.6,0.501,0.325,0.689,5,3.3,2,0.43,0.234,0.646
Tyler Herro,Kentucky,2019,2,196,88,14,4.5,2.5,0.462,0.355,0.935,12.9,4,1.9,0.414,0.391,0.835
Ky Bowman,Boston College,2019,1,185,85,16.9,6.4,3.9,0.433,0.388,0.762,7.4,2.7,2.9,0.417,0.308,0.829
Daniel Gafford,Arkansas,2019,5,211,105,14.3,7.4,0.7,0.635,0,0.562,5.1,2.5,0.5,0.701,0,0.533
Nickeil Alexander-Walker,Virginia Tech,2019,2,196,92,13.5,4,2.7,0.464,0.383,0.763,5.1,2,1.8,0.339,0.342,0.607
Rui Hachimura,Gonzaga,2019,4,203,104,12.1,4.4,0.8,0.579,0.316,0.746,13.4,6,1.7,0.478,0.274,0.829
Mikal Bridges,Villanova,2018,3,201,86,11.3,4.3,1.6,0.525,0.4,0.845,8.3,3.2,2.1,0.43,0.335,0.805
Shai Gilgeous-Alexander,Kentucky,2018,1,198,81,14.4,4.1,5.1,0.485,0.404,0.817,10.8,2.8,3.3,0.476,0.367,0.8
Collin Sexton,Alabama,2018,1,190,86,19.2,3.8,3.6,0.447,0.336,0.778,16.7,2.9,3,0.43,0.402,0.839
Trae Young,Oklahoma,2018,1,188,81,27.4,3.9,8.7,0.422,0.36,0.861,19.1,3.7,8.1,0.418,0.324,0.829
Miles Bridges,Michigan State,2018,3,201,104,17,7.6,2.4,0.47,0.375,0.776,7.5,4,1.2,0.464,0.325,0.753
Landry Shamet,Wichita State,2018,2,193,81,12.9,3,4.1,0.48,0.437,0.811,9.1,1.7,1.5,0.431,0.422,0.806
Kevin Huerter,Maryland,2018,2,201,86,12,5,3,0.466,0.394,0.748,9.7,3.3,2.9,0.419,0.385,0.732
Kevin Knox,Kentucky,2018,3,206,97,15.6,5.4,1.4,0.445,0.341,0.774,12.8,4.5,1.1,0.37,0.343,0.717
Bruce Brown,Miami,2018,2,196,86,11.7,6.2,3.5,0.442,0.316,0.702,4.3,2.5,1.2,0.398,0.258,0.75
Josh Okogie,Georgia Tech,2018,2,193,93,16.9,5.8,2,0.437,0.382,0.777,7.7,2.9,1.2,0.386,0.279,0.728
Jalen Brunson,Villanova,2018,1,190,90,14.4,2.5,3.7,0.51,0.393,0.82,9.3,2.3,3.2,0.467,0.348,0.725
Deandre Ayton,Arizona,2018,5,216,113,20.1,11.6,1.6,0.612,0.343,0.733,16.3,10.3,1.8,0.585,0,0.746
Allonzo Trier,Arizona,2018,2,193,86,16.8,3.7,2.4,0.479,0.378,0.827,10.9,3.1,1.9,0.448,0.394,0.803
Marvin Bagley,Duke,2018,4,211,106,21,11.1,1.5,0.614,0.397,0.627,14.9,7.6,1,0.504,0.313,0.691
Jaren Jackson,Michigan State,2018,4,211,109,10.9,5.8,1.1,0.513,0.396,0.797,13.8,4.7,1.1,0.506,0.359,0.766
Troy Brown,Oregon,2018,3,201,97,11.3,6.2,3.2,0.444,0.291,0.743,4.8,2.8,1.5,0.415,0.319,0.681
Hamidou Diallo,Kentucky,2018,2,196,86,10,3.6,1.2,0.428,0.338,0.616,3.7,1.9,0.3,0.455,0.167,0.61
Aaron Holiday,UCLA,2018,1,185,83,14.3,3.2,4.7,0.45,0.422,0.795,5.9,1.3,1.7,0.401,0.339,0.82
De'Anthony Melton,Southern California,2018,2,193,86,8.3,4.7,3.5,0.437,0.284,0.706,5,2.7,3.2,0.391,0.305,0.75
Dillon Brooks,Oregon,2017,3,196,92,14.8,4.5,2.6,0.472,0.362,0.794,11,3.1,1.6,0.44,0.356,0.747
Jayson Tatum,Duke,2017,3,203,92,16.8,7.3,2.1,0.452,0.342,0.849,13.9,5,1.6,0.475,0.434,0.826
Donovan Mitchell,Louisville,2017,2,190,95,15.6,4.9,2.7,0.408,0.354,0.806,20.5,3.7,3.7,0.437,0.34,0.805
Josh Jackson,Kansas,2017,3,203,93,16.3,7.4,3,0.513,0.378,0.566,13.1,4.6,1.5,0.417,0.263,0.634
Kyle Kuzma,Utah,2017,3,206,86,16.4,9.3,2.4,0.504,0.321,0.669,16.1,6.3,1.8,0.45,0.366,0.707
OG Anunoby,Indiana ,2017,3,203,97,6.8,3.5,0.8,0.563,0.365,0.522,5.9,2.5,0.7,0.471,0.371,0.629
John Collins,Wake Forest,2017,4,208,98,13.4,7,0.4,0.601,0,0.729,10.5,7.3,1.3,0.576,0.34,0.715
De'Aaron Fox,Kentucky,2017,1,190,84,16.7,4,4.6,0.479,0.246,0.736,11.6,2.8,4.4,0.412,0.307,0.723
Luke Kennard,Duke,2017,2,196,81,15.7,4.3,2,0.461,0.383,0.867,7.6,2.4,1.7,0.443,0.415,0.855
Sindarius Thornwell,South Carolina,2017,2,196,97,14.7,5.2,3,0.392,0.339,0.771,3.9,1.9,0.9,0.429,0.377,0.67
Jarrett Allen,Texas,2017,5,211,106,13.4,8.4,0.8,0.566,0,0.564,8.2,5.4,0.7,0.589,0.333,0.776
Bam Adebayo,Kentucky,2017,5,208,117,13,8,0.8,0.599,0,0.653,6.9,5.5,1.5,0.512,0,0.721
Dennis Smith,NC State,2017,1,190,88,18.1,4.6,6.2,0.455,0.359,0.715,15.2,3.8,5.2,0.395,0.313,0.694
Justin Jackson,UNC,2017,3,203,87,13.8,4.1,2.7,0.459,0.339,0.713,6.7,2.8,1.1,0.442,0.308,0.722
Lauri Markkanen,Arizona,2017,4,213,104,15.6,7.2,0.9,0.492,0.423,0.835,15.2,7.5,1.2,0.434,0.362,0.843
Zach Collins,Gonzaga,2017,5,213,104,10,5.9,0.4,0.652,0.476,0.743,4.4,3.3,0.8,0.398,0.31,0.643
Josh Hart,Villanova,2017,2,196,92,13.2,5.6,1.8,0.511,0.389,0.72,7.9,4.2,1.3,0.469,0.396,0.702
Malik Monk,Kentucky,2017,2,190,90,19.8,2.5,2.3,0.45,0.397,0.822,6.7,1,1.4,0.36,0.342,0.842
Wesley Iwundu,Kansas State,2017,3,201,92,9.5,4.7,2.8,0.463,0.338,0.688,3.7,2.2,0.9,0.427,0.196,0.723
Jordan Bell,Oregon,2017,4,201,86,7.8,6.8,1.5,0.61,0.188,0.63,4.6,3.6,1.8,0.627,0,0.682
Tyler Dorsey,Oregon,2017,2,193,81,14.1,3.9,1.8,0.455,0.416,0.732,7.2,2.3,1.4,0.377,0.362,0.714
Sterling Brown,Southern Methodist,2017,2,198,90,8.2,4.8,2.2,0.504,0.451,0.77,4,2.6,0.5,0.4,0.352,0.875
Dwayne Bacon,Florida State,2017,2,201,95,16.5,5,1.6,0.449,0.312,0.733,3.3,2.3,0.7,0.375,0.256,0.8
T.J. Leaf,UCLA,2017,4,208,102,16.3,8.2,2.4,0.617,0.466,0.679,2.9,1.5,0.2,0.471,0.429,0.625
Lonzo Ball,UCLA,2017,1,198,86,14.6,6,7.6,0.551,0.412,0.673,10.2,6.9,7.2,0.36,0.305,0.451
Frank Mason,Kansas,2017,1,180,83,13,3.4,4,0.454,0.42,0.761,7.9,2.5,2.8,0.379,0.36,0.817
Marquese Chriss,Washington,2016,4,206,102,467,183,26,0.53,0.35,0.682,9.2,4.2,0.7,0.449,0.321,0.624
Buddy Hield,Oklahoma,2016,2,193,94,17.4,5,1.9,0.448,0.39,0.836,10.6,3.3,1.5,0.426,0.391,0.842
Jamal Murray,Kentucky,2016,1,196,93,20,5.2,2.2,0.454,0.408,0.783,9.9,2.6,2.1,0.404,0.334,0.883
Dorian Finney-Smith,Florida  ,2016,3,203,98,8.7,6.7,2.1,0.371,0.295,0.643,4.3,2.7,0.8,0.372,0.293,0.754
Domantas Sabonis,Gonzaga,2016,4,208,104,9.7,7.1,0.9,0.668,0,0.664,5.9,3.6,1,0.399,0.321,0.657
Brandon Ingram,Duke,2016,3,206,86,17.3,6.8,2,0.442,0.41,0.682,9.4,4,2.1,0.402,0.294,0.621
Jaylen Brown,California,2016,2,201,102,14.6,5.4,2,0.431,0.294,0.654,6.6,2.8,0.8,0.454,0.341,0.685
Kris Dunn,Providence,2016,1,102,92,3.8,2.5,5,0.316,0,1,3.8,2.1,2.4,0.377,0.288,0.61
Malcolm Brogdon,UVA,2016,1,196,98,18.2,4.1,3.1,0.457,0.391,0.897,10.2,2.8,4.2,0.457,0.404,0.865
Isaiah Whitehead,Seton Hall,2016,2,193,95,12,3.9,3.5,0.367,0.346,0.746,7.4,2.5,2.6,0.402,0.295,0.805
Andrew Harrison,Kentucky,2016,2,198,95,10,2.7,3.8,0.372,0.367,0.777,5.9,1.9,2.8,0.325,0.276,0.763
Patrick McCaw,UNLV,2016,2,198,81,9.6,3.3,2.7,0.402,0.368,0.714,4,1.4,1.1,0.433,0.333,0.784
Tyler Ulis,Kentucky,2016,1,175,70,11.3,1.2,5.3,0.427,0.371,0.846,7.3,1.6,3.7,0.421,0.266,0.775
Taurean Prince,Baylor,2016,3,201,97,10.2,4.2,1.1,0.46,0.376,0.718,5.7,2.7,0.9,0.4,0.324,0.787
Caris LeVert,Michigan  ,2016,2,201,90,10.4,3.5,2.7,0.434,0.401,0.77,8.2,3.3,1.9,0.45,0.321,0.72
Denzel Valentine,Michigan State,2016,2,196,99,11.4,5.9,4.4,0.442,0.408,0.779,5.1,2.6,1.1,0.354,0.351,0.778
Pascal Siakam,New Mexico State,2016,4,206,104,12.8,7.7,1.3,0.572,0,0.759,4.2,3.4,0.3,0.502,0.143,0.688
Jakob Poeltl,Utah,2016,4,203,104,9.1,6.8,0.7,0.681,0,0.444,3.1,3.1,0.2,0.583,0,0.544
Ron Baker,Wichita State,2016,2,193,99,8.7,3.2,1.8,0.398,0.357,0.822,4.1,1.9,2.1,0.378,0.267,0.651
Karl-Anthony Towns,Kentucky,2015,5,211,113,15.3,6.7,1.1,0.566,0.25,0.813,18.3,10.5,2,0.542,0.341,0.811
Frank Kaminsky,Wisconsin,2015,5,213,109,10.1,4.6,1.3,0.522,0.369,0.763,7.5,4.1,1.2,0.41,0.337,0.73
T.J. McConnell,Arizona,2015,1,185,88,9.4,3.7,5.8,0.477,0.343,0.742,6.1,3.1,4.5,0.47,0.348,0.634
Trey Lyles,Kentucky,2015,4,208,106,8.7,5.2,1.1,0.488,0.138,0.735,6.1,3.7,0.7,0.438,0.383,0.695
D'Angelo Russell,Ohio State,2015,1,196,81,19.3,5.7,5,0.449,0.411,0.756,13.2,3.4,3.3,0.41,0.351,0.737
Justise Winslow,Duke,2015,3,198,102,12.6,6.5,2.1,0.486,0.418,0.641,6.4,5.2,1.5,0.422,0.276,0.684
Devin Booker,Kentucky,2015,2,198,93,10,2,1.1,0.47,0.411,0.828,13.8,2.5,2.6,0.423,0.343,0.84
Jerian Grant,Notre Dame,2015,1,196,92,12.3,2.9,5,0.38,0.354,0.819,5.6,1.9,2.3,0.394,0.22,0.78
Stanley Johnson,Arizona,2015,3,198,102,13.8,6.5,1.7,0.446,0.371,0.742,8.1,4.2,1.6,0.375,0.307,0.784
Rashad Vaughn,UNLV,2015,2,198,95,17.8,4.8,1.6,0.439,0.383,0.694,3.1,1.3,0.6,0.305,0.293,0.8
Willie Cauley-Stein,Kentucky,2015,4,213,108,8,6.2,0.9,0.593,0,0.508,7,5.3,0.6,0.563,0,0.648
Larry Nance,Wyoming,2015,4,203,106,10.7,6.9,1.2,0.533,0.345,0.75,5.5,5,0.7,0.527,0.1,0.681
Kelly Oubre,Kansas,2015,4,201,90,9.3,5,0.8,0.444,0.358,0.718,3.7,2.1,0.2,0.427,0.316,0.633
Bobby Portis,Arkansas,2015,4,211,109,15,7.9,1.3,0.526,0.365,0.737,7,5.4,0.8,0.427,0.308,0.727
Myles Turner,Texas,2015,5,211,108,10.1,6.5,0.6,0.455,0.274,0.839,10.3,5.5,0.7,0.498,0.214,0.727
Cameron Payne,Murray State,2015,1,188,81,16.8,3.6,5.4,0.404,0.341,0.774,5,1.5,1.9,0.41,0.324,0.792
Justin Anderson,UVA,2015,3,198,102,8.9,3.5,1.8,0.43,0.357,0.752,3.8,2.4,0.5,0.406,0.265,0.8
Jahlil Okafor,Duke,2015,5,211,122,17.3,8.5,1.3,0.664,0,0.51,17.5,7,1.2,0.508,0.167,0.686
Josh Richardson,Tennessee,2015,2,198,90,9.2,3.2,1.8,0.456,0.318,0.758,6.6,2.1,1.4,0.452,0.461,0.667
Richaun Holmes,Bowling Green,2015,3,203,111,6.5,5,0.2,0.633,0,0.62,5.6,2.6,0.6,0.514,0.182,0.689
Elfrid Payton,Louisiana-Lafayette,2014,1,190,81,14.3,5.1,4.9,0.485,0.268,0.611,8.9,4.3,6.5,0.425,0.262,0.551
Andrew Wiggins,Kansas,2014,3,203,90,17.1,5.9,1.5,0.448,0.341,0.775,16.9,4.6,2.1,0.437,0.31,0.76
Zach LaVine,UCLA,2014,2,196,81,9.4,2.5,1.8,0.441,0.375,0.691,10.1,2.8,3.6,0.422,0.341,0.842
JaKarr Sampson,St. John's,2014,3,206,97,12.8,6.1,1.2,0.495,0.2,0.565,5.2,2.2,1,0.422,0.244,0.67
Nik Stauskas,Michigan,2014,2,198,92,11,3,1.3,0.463,0.44,0.851,4.4,1.2,0.9,0.365,0.322,0.859
Marcus Smart,Oklahoma State,2014,1,193,99,15.4,5.8,4.2,0.404,0.29,0.777,7.8,3.3,3.1,0.367,0.335,0.646
Jerami Grant,Syracuse,2014,3,203,95,7.5,4.7,0.9,0.486,0.3,0.641,6.3,3,1.2,0.352,0.314,0.591
Tarik Black,Kansas,2014,4,206,117,5.5,3.9,0.3,0.692,0,0.6,6,5.8,0.7,0.575,0,0.551
K.J. McDaniels,Clemson,2014,3,198,90,11,4.8,0.9,0.45,0.313,0.767,7.9,3.2,1.2,0.396,0.287,0.752
Jordan Clarkson,Missouri,2014,1,196,97,17.5,3.8,3.4,0.448,0.281,0.831,11.9,3.2,3.5,0.448,0.314,0.829
Gary Harris,Michigan State,2014,2,193,95,12.9,2.5,1.4,0.456,0.411,0.755,3.4,1.2,0.5,0.304,0.204,0.745
Joe Harris,UVA,2014,2,198,102,4.3,3.8,1.9,0.445,0.407,0.722,2.7,0.8,0.5,0.4,0.369,0.6
Shabazz Napier,UConn ,2014,1,185,81,7.8,2.4,3,0.37,0.326,0.771,5.1,2.2,2.5,0.382,0.364,0.786
Travis Wear,UCLA,2014,3,208,104,7.2,3.2,1.4,0.53,0.44,0.833,3.9,2.1,0.8,0.402,0.367,0.769
Rodney Hood,Duke,2014,2,203,97,10.3,4.8,2,0.443,0.364,0.659,8.7,2.3,1.7,0.414,0.365,0.763
Ben McLemore,Kansas,2013,2,196,88,15.9,5.2,2,0.495,0.42,0.87,8.8,2.9,1,0.376,0.32,0.804
Cody Zeller,Indiana ,2013,4,213,108,16.1,7.3,1.3,0.592,0,0.756,6,4.3,1.1,0.426,0,0.73
Steven Adams,Pittsburgh,2013,5,213,113,7.2,6.3,0.6,0.571,0,0.443,3.3,4.1,0.5,0.503,0,0.581
Tim Hardaway,Michigan,2013,2,198,92,14.3,4.1,2.1,0.425,0.343,0.724,10.2,1.5,0.8,0.428,0.363,0.828
Kentavious Caldwell-Pope,Georgia  ,2013,2,196,92,13.2,5.2,1.2,0.396,0.304,0.654,5.9,2,0.7,0.396,0.319,0.77
Victor Oladipo,Indiana ,2013,2,196,97,13.6,6.3,2.1,0.599,0.441,0.746,13.8,4.1,4.1,0.419,0.327,0.78
Tony Snell,New Mexico  ,2013,3,201,90,9.2,2.4,2,0.421,0.38,0.821,4.5,1.6,0.9,0.384,0.32,0.756
Phil Pressey,Missouri,2013,1,180,79,6.5,2.3,3.9,0.387,0.361,0.761,2.8,1.4,3.2,0.308,0.264,0.644
Matthew Dellavedova,St. Mary's,2013,1,193,86,12.1,3.5,4.5,0.39,0.398,0.85,4.7,1.7,2.6,0.412,0.368,0.792
Trey Burke,Michigan,2013,1,183,86,16.9,3.3,5.7,0.45,0.367,0.777,12.8,3,5.7,0.38,0.33,0.903
Michael Carter-Williams,Syracuse,2013,1,198,83,11.9,5,7.3,0.393,0.294,0.694,16.7,6.2,6.3,0.405,0.264,0.703
Kelly Olynyk,Gonzaga,2013,5,213,107,8.9,4.6,1.1,0.594,0.333,0.709,8.7,5.2,1.6,0.466,0.351,0.811
Mason Plumlee,Duke,2013,5,208,106,9.8,7.7,1.5,0.574,0.2,0.583,7.4,4.4,0.9,0.659,0,0.626
Gorgui Dieng,Louisville,2013,5,211,111,8.3,7.9,1.2,0.545,0.333,0.64,4.8,5,0.7,0.498,1,0.634
Ryan Kelly,Duke,2013,4,211,104,7.5,3.7,0.9,0.46,0.379,0.805,8,3.7,1.6,0.423,0.338,0.815
Jeff Withey,Kansas,2013,5,213,106,8,5.4,0.6,0.568,1,0.726,3.3,2.6,0.4,0.535,0,0.712
Anthony Bennett,UNLV,2013,4,203,108,16.1,8.1,1,0.533,0.375,0.701,4.2,3,0.3,0.356,0.245,0.638
Damian Lillard,Weber State,2012,1,188,83,24.5,5,4,0.467,0.409,0.887,19,3.1,6.5,0.429,0.368,0.844
Harrison Barnes,UNC,2012,3,203,97,15.6,5.8,1.4,0.421,0.344,0.75,9.2,4.1,1.2,0.439,0.359,0.758
Draymond Green,Michigan State,2012,4,201,104,3.3,3.3,0.8,0.556,0,0.615,2.9,3.3,0.7,0.327,0.209,0.818
Jae Crowder,Marquette,2012,3,198,106,11.8,6.8,1.6,0.485,0.359,0.616,5,2.4,1.2,0.384,0.328,0.644
Festus Ezeli,Vanderbilt,2012,5,211,115,3.8,3.2,0.1,0.544,0,0.373,2.4,4,0.3,0.438,0,0.531
Michael Kidd-Gilchrist,Kentucky,2012,3,201,105,11.9,7.4,1.9,0.491,0.255,0.745,9,5.8,1.5,0.458,0.222,0.749
Jeffery Taylor,Vanderbilt,2012,3,201,102,14,5.6,1.9,0.483,0.358,0.693,6.1,1.9,0.8,0.431,0.344,0.728
Tyler Zeller,UNC,2012,5,213,113,12.8,6.7,0.6,0.543,0,0.775,7.9,5.7,1.2,0.438,0,0.764
Maurice Harkless,St. John's,2012,3,203,93,15.5,8.6,1.5,0.452,0.215,0.676,8.2,4.4,0.7,0.461,0.274,0.57
Andrew Nicholson,St. Bonaventure,2012,4,206,108,16.4,7.1,0.5,0.564,0,0.76,7.8,3.4,0.6,0.527,0,0.798
Will Barton,Memphis,2012,2,198,79,15.2,6.5,2.9,0.471,0.299,0.733,4,2,0.8,0.382,0.138,0.769
Terrence Ross,Washington,2012,2,198,88,12.3,4.7,1.2,0.453,0.364,0.764,6.4,2,0.7,0.407,0.332,0.714
Thomas Robinson,Kansas,2012,4,206,107,12.3,4.7,1.2,0.453,0.364,0.764,4.8,4.5,0.7,0.43,0,0.523
Meyers Leonard,Illinois,2012,5,216,111,7.7,4.7,0.7,0.567,0.083,0.729,5.5,3.7,0.5,0.545,0.429,0.809
Anthony Davis,Kentucky,2012,5,208,99,14.2,10.4,1.3,0.623,0.15,0.709,13.5,8.2,1,0.516,0,0.751
John Henson,UNC,2012,5,211,99,10.3,8.1,1,0.497,0.208,0.484,6,4.7,0.5,0.482,0,0.533
Kent Bazemore,Old Dominion,2012,2,196,88,4.5,3.1,1.5,0.433,0.265,0.429,2,0.4,0.4,0.371,0.294,0.614
John Jenkins,Vanderbilt,2012,2,193,97,10.9,2.2,1,0.468,0.483,0.8,6.1,1.5,0.9,0.446,0.384,0.843
Austin Rivers,Duke,2012,1,193,90,15.5,3.4,2.1,0.433,0.365,0.658,6.2,1.8,2.1,0.372,0.326,0.546
Dion Waiters,Syracuse,2012,2,193,97,12.6,2.3,2.5,0.476,0.363,0.729,14.7,2.4,3,0.412,0.31,0.746
Andre Drummond,UConn ,2012,5,208,122,10,7.6,0.4,0.538,0,0.295,7.9,7.6,0.5,0.608,0.5,0.371
Kyle O'Quinn,Norfolk State,2012,4,208,108,5.3,3.4,0.4,0.492,0.378,0.622,4.1,3.7,0.9,0.513,0,0.667
Bradley Beal,Florida,2012,2,190,93,14.8,6.7,2.2,0.445,0.339,0.769,13.9,3.8,2.4,0.41,0.386,0.786
Darius Miller,Kentucky,2012,3,203,102,5.3,3.1,2,0.41,0.333,0.804,2.3,1.5,0.8,0.407,0.393,1
Brandon Knight,Kentucky,2011,1,190,83,17.3,4,4.2,0.423,0.377,0.795,12.8,3.2,3.8,0.415,0.38,0.759
Chris Singleton,Florida State,2011,3,206,99,8.1,4.9,1.1,0.409,0.333,0.611,4.6,3.5,0.7,0.372,0.346,0.682
Klay Thompson,Washingtn State,2011,2,198,90,17.9,4.8,2.6,0.424,0.39,0.827,12.5,2.4,2,0.443,0.414,0.868
Kemba Walker,UConn ,2011,1,185,78,16.1,4.4,4.1,0.428,0.326,0.783,12.1,3.5,4.4,0.366,0.305,0.789
Derrick Williams,Arizona,2011,3,203,106,15.7,7.1,0.7,0.574,0.25,0.681,8.8,4.7,0.6,0.412,0.268,0.697
Norris Cole,Cleveland State,2011,1,188,77,13.3,2.5,2.4,0.453,0.305,0.804,6.8,1.4,2,0.393,0.276,0.776
Isaiah Thomas,Washington,2011,1,173,83,16.4,3.5,4,0.426,0.325,0.713,11.5,2.6,4.1,0.448,0.379,0.832
Kawhi Leonard,San Diego State,2011,3,201,102,12.7,9.9,1.9,0.455,0.205,0.726,7.9,5.1,1.1,0.493,0.376,0.773
Markieff Morris,Kansas,2011,4,208,111,13.6,8.3,1.4,0.589,0.424,0.673,7.4,4.4,1,0.399,0.347,0.717
Chandler Parsons,Florida,2011,3,206,97,12.4,6.9,2.6,0.493,0.358,0.662,9.5,4.8,2.1,0.452,0.337,0.551
Jimmer Fredette,BYU,2011,2,188,88,18.7,2.6,3.7,0.455,0.394,0.882,7.6,1.2,1.8,0.386,0.361,0.833
Tristan Thompson,Texas,2011,5,203,102,13.1,7.8,1.3,0.546,0,0.487,8.2,6.5,0.5,0.439,0,0.552
Alec Burks,Colorado,2011,2,198,88,17,5,1.8,0.538,0.352,0.772,7.2,2.2,0.9,0.429,0.333,0.727
Iman Shumpert,Georgia Tech,2011,2,196,96,12.7,4.5,4.2,0.396,0.305,0.738,9.5,3.2,2.8,0.401,0.306,0.798
MarShon Brooks,Providence,2011,2,196,90,14.4,4.3,1.5,0.464,0.333,0.739,12.6,3.6,2.3,0.428,0.313,0.764
Nikola Vu?evi?,Southern California,2011,5,208,99,11.1,8,1.1,0.509,0.303,0.746,5.5,4.8,0.6,0.45,0.375,0.529
Landry Fields,Stanford,2010,2,201,97,12.6,6.6,1.9,0.498,0.368,0.65,9.7,6.4,1.9,0.497,0.393,0.769
Al-Farouq Aminu,Wake Forest,2010,3,206,97,12.9,8.2,1.5,0.516,0.179,0.671,5.6,3.3,0.7,0.394,0.315,0.773
Eric Bledsoe,Kentucky,2010,1,185,86,11.3,3.1,2.9,0.462,0.383,0.667,6.7,2.8,3.6,0.424,0.276,0.744
DeMarcus Cousins,Kentucky,2010,5,211,122,15.1,9.8,1,0.558,0.167,0.604,14.1,8.6,2.5,0.43,0.167,0.687
Greg Monroe,GeorgeTown,2010,5,211,112,14.5,8.2,3.2,0.543,0.273,0.677,9.4,7.5,1.3,0.551,0,0.622
Derrick Favors,Georgia Tech,2010,4,208,111,12.4,8.4,1,0.611,0,0.629,6.8,5.3,0.5,0.517,0,0.595
Evan Turner,Ohio State,2010,2,201,95,15,6.8,4.1,0.502,0.362,0.758,7.2,3.9,2,0.425,0.318,0.808
Gordon Hayward,Butler,2010,3,203,93,13.1,3.2,2,0.479,0.448,0.815,5.4,1.9,1.1,0.485,0.473,0.711
John Wall,Kentucky,2010,1,193,88,16.6,4.3,9,0.461,0.325,0.754,16.4,4.6,8.3,0.409,0.296,0.766
Quincy Pondexter,Washington,2010,3,201,97,9.9,4.8,1.9,0.452,0.288,0.685,2.8,1.3,0.4,0.406,0.36,0.706
Trevor Booker,Clemson,2010,4,201,108,10.4,6.4,1.1,0.602,0,0.615,5.3,3.9,0.5,0.549,0,0.673
Ed Davis,UNC,2010,5,208,102,9.2,7.7,0.7,0.548,0,0.623,7.7,7.1,0.6,0.576,0,0.555
Paul George,Fresno State,2010,3,201,95,14.3,6.2,1.9,0.47,0.447,0.697,7.8,3.7,1.1,0.453,0.297,0.762
Larry Sanders,VCU,2010,5,208,106,4.9,5.2,0.1,0.504,0,0.456,4.3,3,0.3,0.433,0,0.56
Ekpe Udoh,Baylor,2010,5,208,108,6,5,0.9,0.437,0.375,0.589,4.1,3.1,0.7,0.437,0,0.656
